Company,Domain,Website,City,State,Trade,Revenue,Employees,Industry,Lifecycle Status,Qualification Decision,Qualification Reason,Fit Score,First Seen,Last Reviewed,Next Review,Approved At,HubSpot Company ID,Sequence Status,Meeting Status,Customer Status,Source Profile,Notes
Comfort Systems USA Southwest,csusasw.com,www.csusasw.com,Chandler,Arizona,Plumbing,54516000,272,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | excluded business-model evidence,28.0,2026-07-13T21:46:39.318017+00:00,2026-07-13T21:46:39.318017+00:00,2027-01-09T21:46:39.318028+00:00,,,,,,Default,
Commonwealth Electric Company of the Midwest,commonwealthelectric.com,www.commonwealthelectric.com,Lincoln,Nebraska,Electrical,109730000,1000,,Rejected,REJECT,State outside target geography: Nebraska,0.0,2026-07-13T21:54:15.933494+00:00,2026-07-13T21:54:15.933494+00:00,2027-01-09T21:54:15.933506+00:00,,,,,,Default,
Commonwealth Electrical Technologies,comelectrical.com,www.comelectrical.com,Worcester,Massachusetts,Electrical,86568000,136,,Rejected,REJECT,State outside target geography: Massachusetts,0.0,2026-07-13T21:54:40.280290+00:00,2026-07-13T21:54:40.280290+00:00,2027-01-09T21:54:40.280302+00:00,,,,,,Default,
Comprehensive Energy Services,cesmechanical.com,www.cesmechanical.com,Longwood,Florida,Plumbing,126729000,303,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:40:39.530993+00:00,2026-07-13T21:40:39.530993+00:00,2027-01-09T21:40:39.531006+00:00,,,,,,Default,
ConServ Building Services,conservonline.com,www.conservonline.com,Largo,Florida,Plumbing,114575000,180,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:40:54.696705+00:00,2026-07-13T21:40:54.696705+00:00,2027-01-09T21:40:54.696717+00:00,,,,,,Default,
Connelly Electric,connellyelectric.com,www.connellyelectric.com,Addison,Illinois,Electrical,127305000,589,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T21:53:40.275179+00:00,2026-07-13T21:53:40.275179+00:00,2027-01-09T21:53:40.275191+00:00,,,,,,Default,
Contra Costa Electric,ccelectric.com,www.ccelectric.com,Martinez,California,Electrical,70083000,374,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:57:26.810538+00:00,2026-07-13T21:57:26.810538+00:00,2027-01-09T21:57:26.810550+00:00,,,,,,Default,
Corbins Electric,corbinselectric.com,www.corbinselectric.com,Phoenix,Arizona,Electrical,444905000,509,,Rejected,REJECT,revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,0.0,2026-07-13T21:51:20.866121+00:00,2026-07-13T21:51:20.866121+00:00,2027-01-09T21:51:20.866133+00:00,,,,,,Default,
Corrigan,corriganco.com,www.corriganco.com,St. Louis,Missouri,Plumbing,53094000,140,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53543735696; source all-companies.csv).,0.0,2026-07-13T21:46:39.341315+00:00,2026-07-13T21:46:39.341315+00:00,,,,,,,Default,
Crawford Company,crawford-company.com,www.crawford-company.com,Rock Island,Illinois,Plumbing,218328000,343,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54622224402; source all-companies.csv).,0.0,2026-07-13T21:38:49.636467+00:00,2026-07-13T21:38:49.636467+00:00,,,,,,,Default,
Creative Multicare,creativemulticare.com,www.creativemulticare.com,Stockbridge,Georgia,Plumbing,63739000,300,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:43:40.235651+00:00,2026-07-13T21:43:40.235651+00:00,2027-01-09T21:43:40.235662+00:00,,,,,,Default,
Critical Electric Systems Group,cesg.com,www.cesg.com,Plano,Texas,Electrical,126031000,269,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,31.0,2026-07-13T21:53:52.438792+00:00,2026-07-13T21:53:52.438792+00:00,2027-01-09T21:53:52.438804+00:00,,,,,,Default,
Critter Control,crittercontrol.com,www.crittercontrol.com,Marietta,Georgia,Pest Control,66860000,500,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T22:03:06.454922+00:00,2026-07-13T22:03:06.454922+00:00,2027-01-09T22:03:06.454937+00:00,,,,,,Default,
"CroppMetcalfe, Inc.",croppmetcalfe.com,www.croppmetcalfe.com,Fairfax,Virginia,Pest Control,72053000,288,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55325851469; source all-companies.csv).,0.0,2026-07-13T21:42:33.948027+00:00,2026-07-13T22:03:06.431946+00:00,,,,,,,Default,
Cullum Services,culluminc.com,www.culluminc.com,North Charleston,South Carolina,Plumbing,74203000,270,,Rejected,REJECT,State outside target geography: South Carolina,0.0,2026-07-13T21:42:32.052166+00:00,2026-07-13T21:42:32.052166+00:00,2027-01-09T21:42:32.052180+00:00,,,,,,Default,
Custom Air Products & Services,customairproducts.com,www.customairproducts.com,Houston,Texas,Plumbing,57275000,242,,Rejected,REJECT,revenue $25M+ | target employee scale | excluded business-model evidence,0.0,2026-07-13T21:46:27.221017+00:00,2026-07-13T21:46:27.221017+00:00,2027-01-09T21:46:27.221028+00:00,,,,,,Default,
DRF Trusted Property Solutions,drftps.com,www.drftps.com,Plainfield,Illinois,Plumbing,76383000,120,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T21:42:32.010016+00:00,2026-07-13T21:42:32.010016+00:00,2027-01-09T21:42:32.010027+00:00,,,,,,Default,
DV Brown & Associates,dvbrown.com,www.dvbrown.com,Tonawanda,New York,Plumbing,127305000,200,,Rejected,REJECT,State outside target geography: New York,0.0,2026-07-13T21:40:39.503825+00:00,2026-07-13T21:40:39.503825+00:00,2027-01-09T21:40:39.503839+00:00,,,,,,Default,
Darana Hybrid,daranahybrid.com,www.daranahybrid.com,Hamilton,Ohio,Electrical,104601000,379,,Rejected,REJECT,State outside target geography: Ohio,0.0,2026-07-13T21:54:15.985670+00:00,2026-07-13T21:54:15.985670+00:00,2027-01-09T21:54:15.985684+00:00,,,,,,Default,
Dave Jones,davejonesinc.com,www.davejonesinc.com,Madison,Wisconsin,Electrical,87021000,356,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55340304011; source all-companies.csv).,0.0,2026-07-13T21:42:17.547425+00:00,2026-07-13T21:54:40.263670+00:00,,,,,,,Default,
DeBra-Kuempel,dkemcor.com,www.dkemcor.com,Cincinnati,Ohio,Electrical,465926000,627,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53572175366; source all-companies.csv).,0.0,2026-07-13T21:38:49.496374+00:00,2026-07-13T21:50:58.514295+00:00,,,,,,,Default,
Decker Electric,decker-electric.com,www.decker-electric.com,Wichita,Kansas,Electrical,71996000,63,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39369105699; source all-companies.csv).,0.0,2026-07-13T21:56:28.783600+00:00,2026-07-13T21:56:28.783600+00:00,,,,,,,Default,
Del-Air,delair.com,www.delair.com,Lake Mary,Florida,Plumbing,105339000,518,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:41:56.522925+00:00,2026-07-13T21:41:56.522925+00:00,2027-01-09T21:41:56.522939+00:00,,,,,,Default,
Delta Services,deltaservicesllc.com,www.deltaservicesllc.com,Louisville,Kentucky,Electrical,78928000,117,,Rejected,REJECT,State outside target geography: Kentucky,0.0,2026-07-13T21:55:11.596418+00:00,2026-07-13T21:55:11.596418+00:00,2027-01-09T21:55:11.596428+00:00,,,,,,Default,
Delta Wye Electric,deltawye.com,www.deltawye.com,Anaheim,California,Electrical,76383000,120,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39356001948; source all-companies.csv).,0.0,2026-07-13T21:55:23.989248+00:00,2026-07-13T21:55:23.989248+00:00,,,,,,,Default,
Denier Electric,denier.com,www.denier.com,Harrison,Ohio,Electrical,79972000,365,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39352286354; source all-companies.csv).,0.0,2026-07-13T21:55:11.547333+00:00,2026-07-13T21:55:11.547333+00:00,,,,,,,Default,
Dodson Pest Control,dodsonbros.com,www.dodsonbros.com,Lynchburg,Virginia,Pest Control,132719000,603,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T22:02:54.154791+00:00,2026-07-13T22:02:54.154791+00:00,2027-01-09T22:02:54.154805+00:00,,,,,,Default,
Down Under Plumbing,downunderplumbing808.com,www.downunderplumbing808.com,,,Plumbing,161729000,721,,Rejected,REJECT,State outside target geography: missing,0.0,2026-07-13T21:40:03.659530+00:00,2026-07-13T21:40:03.659530+00:00,2027-01-09T21:40:03.659544+00:00,,,,,,Default,
Dubak Electrical Group,dubakelectrical.com,www.dubakelectrical.com,La Grange,Illinois,Electrical,70824000,261,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39363841843; source all-companies.csv).,0.0,2026-07-13T21:57:26.797701+00:00,2026-07-13T21:57:26.797701+00:00,,,,,,,Default,
Dynalectric,dynalectric-dc.com,www.dynalectric-dc.com,Sterling,Virginia,Electrical,366638000,576,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:51:20.946778+00:00,2026-07-13T21:51:20.946778+00:00,2027-01-09T21:51:20.946791+00:00,,,,,,Default,
Dynalectric Oregon,dyna-oregon.com,www.dyna-oregon.com,Portland,Oregon,Electrical,350089000,550,,Rejected,REJECT,State outside target geography: Oregon,0.0,2026-07-13T21:51:21.006507+00:00,2026-07-13T21:51:21.006507+00:00,2027-01-09T21:51:21.006520+00:00,,,,,,Default,
ECOLA,ecolatermite.com,www.ecolatermite.com,Mission Hills,California,Pest Control,108422000,68,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T22:02:54.215637+00:00,2026-07-13T22:02:54.215637+00:00,2027-01-09T22:02:54.215652+00:00,,,,,,Default,
EMCOR Services Aircond,aircond.com,www.aircond.com,Smyrna,Georgia,Plumbing,159131000,250,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:40:03.675996+00:00,2026-07-13T21:40:03.675996+00:00,2027-01-09T21:40:03.676008+00:00,,,,,,Default,
EMCOR Services Fluidics,fluidics.com,www.fluidics.com,Philadelphia,Pennsylvania,Plumbing,159131000,250,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54049360677; source all-companies.csv).,0.0,2026-07-13T21:40:03.665362+00:00,2026-07-13T21:40:03.665362+00:00,,,,,,,Default,
EMCOR Services New England Mechanical,nemsi.com,www.nemsi.com,South Windsor,Connecticut,Electrical,198596000,312,,Rejected,REJECT,State outside target geography: Connecticut,0.0,2026-07-13T21:52:26.850005+00:00,2026-07-13T21:52:26.850005+00:00,2027-01-09T21:52:26.850029+00:00,,,,,,Default,
ERMCO,ermco.com,www.ermco.com,Greenwood,Indiana,Electrical,69700000,315,,Rejected,REJECT,State outside target geography: Indiana,0.0,2026-07-13T21:57:26.861876+00:00,2026-07-13T21:57:26.861876+00:00,2027-01-09T21:57:26.861889+00:00,,,,,,Default,
ESI Electrical Contractors,esielectrical.com,www.esielectrical.com,Cincinnati,Ohio,Electrical,286436000,301,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39365234812; source all-companies.csv).,0.0,2026-07-13T21:51:21.083564+00:00,2026-07-13T21:51:21.083564+00:00,,,,,,,Default,
Edlen,edlen.com,www.edlen.com,Las Vegas,Nevada,Electrical,104390000,164,,Rejected,REJECT,revenue $25M+ | target employee scale,28.0,2026-07-13T21:54:28.895503+00:00,2026-07-13T21:54:28.895503+00:00,2027-01-09T21:54:28.895514+00:00,,,,,,Default,
Edwards Elecrical & Mechanical,edwards-elec.com,www.edwards-elec.com,Indianapolis,Indiana,Electrical,295984000,465,,Rejected,REJECT,State outside target geography: Indiana,0.0,2026-07-13T21:51:21.071970+00:00,2026-07-13T21:51:21.071970+00:00,2027-01-09T21:51:21.071985+00:00,,,,,,Default,
"Efficient AC, Electric & Plumbing",efficienttexas.com,www.efficienttexas.com,Austin,Texas,Plumbing,50922000,80,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | visible marketing maturity,91.0,2026-07-13T21:46:50.373043+00:00,2026-07-13T21:46:50.373043+00:00,,,,,,,Default,
Eldeco,eldecoinc.com,www.eldecoinc.com,Piedmont,South Carolina,Electrical,221631000,429,,Rejected,REJECT,State outside target geography: South Carolina,0.0,2026-07-13T21:52:06.515988+00:00,2026-07-13T21:52:06.515988+00:00,2027-01-09T21:52:06.516001+00:00,,,,,,Default,
Elliott-Lewis,elliottlewis.com,www.elliottlewis.com,Philadelphia,Pennsylvania,Plumbing,350089000,550,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53554169719; source all-companies.csv).,0.0,2026-07-13T21:38:49.548124+00:00,2026-07-13T21:38:49.548124+00:00,,,,,,,Default,
Ennis Electric Company,enniselectric.com,www.enniselectric.com,Manassas,Virginia,Electrical,81544000,125,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:55:11.509248+00:00,2026-07-13T21:55:11.509248+00:00,2027-01-09T21:55:11.509261+00:00,,,,,,Default,
Enterprise Electrical,enterpriseelectricalco.com,www.enterpriseelectricalco.com,Houston,Texas,Electrical,124759000,196,,Rejected,REJECT,revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,0.0,2026-07-13T21:54:13.415790+00:00,2026-07-13T21:54:13.415790+00:00,2027-01-09T21:54:13.415807+00:00,,,,,,Default,
Environment Masters,environmentmasters.com,www.environmentmasters.com,Jackson,Mississippi,Plumbing,73201000,115,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55461355167; source all-companies.csv).,0.0,2026-07-13T21:42:33.921352+00:00,2026-07-13T21:42:33.921352+00:00,,,,,,,Default,
Ernest P Breaux Electrical,epbreaux.com,www.epbreaux.com,New Iberia,Louisiana,Electrical,79121000,277,,Rejected,REJECT,State outside target geography: Louisiana,0.0,2026-07-13T21:55:11.564989+00:00,2026-07-13T21:55:11.564989+00:00,2027-01-09T21:55:11.565002+00:00,,,,,,Default,
Expanse Electrical,expanseelectrical.com,www.expanseelectrical.com,Houston,Texas,Electrical,241852000,621,,Rejected,REJECT,revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,0.0,2026-07-13T21:52:06.472692+00:00,2026-07-13T21:52:06.472692+00:00,2027-01-09T21:52:06.472703+00:00,,,,,,Default,
F&G Mechanical,fgmech.com,www.fgmech.com,Secaucus,New Jersey,Plumbing,286436000,450,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39366007945; source all-companies.csv).,0.0,2026-07-13T21:38:49.601721+00:00,2026-07-13T21:38:49.601721+00:00,,,,,,,Default,
F.E. Moran Group of Companies,femoran.com,www.femoran.com,Northbrook,Illinois,Plumbing,45390000,388,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T21:49:12.928559+00:00,2026-07-13T21:49:12.928559+00:00,2027-01-09T21:49:12.928571+00:00,,,,,,Default,
"F.H. Furr Plumbing, Heating, Air Conditioning, & Electrical",fhfurr.com,www.fhfurr.com,Manassas,Virginia,Plumbing,69944000,523,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:42:34.009503+00:00,2026-07-13T21:42:34.009503+00:00,2027-01-09T21:42:34.009520+00:00,,,,,,Default,
FOX Pest Control,fox-pest.com,www.fox-pest.com,Logan,Utah,Pest Control,102470000,500,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55341741382; source all-companies.csv).,0.0,2026-07-13T22:02:54.253952+00:00,2026-07-13T22:02:54.253952+00:00,,,,,,,Default,
Fahnestock,fahnestockhvac.com,www.fahnestockhvac.com,Wichita,Kansas,Plumbing,112066000,62,,Rejected,REJECT,State outside target geography: Kansas,0.0,2026-07-13T21:40:54.720291+00:00,2026-07-13T21:40:54.720291+00:00,2027-01-09T21:40:54.720306+00:00,,,,,,Default,
Federated Electrical Contractors,fec.org,www.fec.org,Haddonfield,New Jersey,Electrical,94956000,530,,Rejected,REJECT,State outside target geography: New Jersey,0.0,2026-07-13T21:54:40.171201+00:00,2026-07-13T21:54:40.171201+00:00,2027-01-09T21:54:40.171216+00:00,,,,,,Default,
Feldkamp Enterprises,feldkamphvac.com,www.feldkamphvac.com,Cincinnati,Ohio,Plumbing,64710000,151,,Rejected,REJECT,State outside target geography: Ohio,0.0,2026-07-13T21:43:40.223594+00:00,2026-07-13T21:43:40.223594+00:00,2027-01-09T21:43:40.223605+00:00,,,,,,Default,
Ferran Services,ferran-services.com,www.ferran-services.com,Orlando,Florida,Plumbing,57222000,98,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55212071606; source all-companies.csv).,0.0,2026-07-13T21:46:27.227245+00:00,2026-07-13T21:46:27.227245+00:00,,,,,,,Default,
Feyen Zylstra,feyenzylstra.com,www.feyenzylstra.com,Grand Rapids,Michigan,Electrical,125262000,678,,Rejected,REJECT,State outside target geography: Michigan,0.0,2026-07-13T21:53:52.451061+00:00,2026-07-13T21:53:52.451061+00:00,2027-01-09T21:53:52.451072+00:00,,,,,,Default,
Fleming Companies,fleminc.com,www.fleminc.com,Bryant,Arkansas,Electrical,126153000,200,,Rejected,REJECT,State outside target geography: Arkansas,0.0,2026-07-13T21:53:40.372913+00:00,2026-07-13T21:53:40.372913+00:00,2027-01-09T21:53:40.372926+00:00,,,,,,Default,
Florida Pest Control & Chemical,flapest.com,www.flapest.com,Gainesville,Florida,Pest Control,122857000,538,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T22:02:54.179257+00:00,2026-07-13T22:02:54.179257+00:00,2027-01-09T22:02:54.179268+00:00,,,,,,Default,
Four Seasons Heating,fourseasonsheatingcooling.com,www.fourseasonsheatingcooling.com,Chicago,Illinois,Electrical,399737000,628,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56509329591; source all-companies.csv).,0.0,2026-07-13T21:38:49.533572+00:00,2026-07-13T21:51:20.916606+00:00,,,,,,,Default,
Fox Service,foxservice.com,www.foxservice.com,Austin,Texas,Electrical,79956000,133,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54255853232; source all-companies.csv).,0.0,2026-07-13T21:42:17.652047+00:00,2026-07-13T21:55:11.553347+00:00,,,,,,,Default,
Fred Smith Plumbing & Heating,fredsmithplumbing.com,www.fredsmithplumbing.com,New York City,New York,Plumbing,54741000,125,,Rejected,REJECT,State outside target geography: New York,0.0,2026-07-13T21:46:27.293357+00:00,2026-07-13T21:46:27.293357+00:00,2027-01-09T21:46:27.293373+00:00,,,,,,Default,
Freestate Electrical Companies,freestateelectric.com,www.freestateelectric.com,Cumberland,Maryland,Electrical,428381000,673,,Rejected,REJECT,State outside target geography: Maryland,0.0,2026-07-13T21:51:20.884541+00:00,2026-07-13T21:51:20.884541+00:00,2027-01-09T21:51:20.884555+00:00,,,,,,Default,
Frischhertz,frischhertz.com,www.frischhertz.com,New Orleans,Louisiana,Electrical,80248000,340,,Rejected,REJECT,State outside target geography: Louisiana,0.0,2026-07-13T21:55:11.534407+00:00,2026-07-13T21:55:11.534407+00:00,2027-01-09T21:55:11.534423+00:00,,,,,,Default,
GEM Plumbing & Heating,askgem.com,www.askgem.com,Lincoln,Rhode Island,Plumbing,62564000,354,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54170614324; source all-companies.csv).,0.0,2026-07-13T21:43:40.291783+00:00,2026-07-13T21:43:40.291783+00:00,,,,,,,Default,
Gallo Mechanical,gallomechanical.com,www.gallomechanical.com,New Orleans,Louisiana,Plumbing,61128000,379,,Rejected,REJECT,State outside target geography: Louisiana,0.0,2026-07-13T21:43:50.816947+00:00,2026-07-13T21:43:50.816947+00:00,2027-01-09T21:43:50.816963+00:00,,,,,,Default,
Gaston Electrical,gastonelectrical.com,www.gastonelectrical.com,Norwood,Massachusetts,Electrical,127304000,275,,Rejected,REJECT,State outside target geography: Massachusetts,0.0,2026-07-13T21:53:40.337499+00:00,2026-07-13T21:53:40.337499+00:00,2027-01-09T21:53:40.337513+00:00,,,,,,Default,
Genz-Ryan,genzryan.com,www.genzryan.com,Burnsville,Minnesota,Plumbing,56446000,121,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53541157438; source all-companies.csv).,0.0,2026-07-13T21:46:27.245754+00:00,2026-07-13T21:46:27.245754+00:00,,,,,,,Default,
Georgia Secretary of State,sos.ga.gov,sos.ga.gov,Atlanta,Georgia,Plumbing,47429000,324,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:49:12.893473+00:00,2026-07-13T21:49:12.893473+00:00,2027-01-09T21:49:12.893485+00:00,,,,,,Default,
Gephart Electric,gephartelectric.com,www.gephartelectric.com,Saint Paul,Minnesota,Electrical,76104000,356,,Rejected,REJECT,State outside target geography: Minnesota,0.0,2026-07-13T21:55:24.032278+00:00,2026-07-13T21:55:24.032278+00:00,2027-01-09T21:55:24.032291+00:00,,,,,,Default,
Gervaise,gervaismechanical.com,www.gervaismechanical.com,Auburn,Massachusetts,Plumbing,50922000,80,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54054364026; source all-companies.csv).,0.0,2026-07-13T21:47:23.138548+00:00,2026-07-13T21:47:23.138548+00:00,,,,,,,Default,
Gibson Electric,gibsonelec.com,www.gibsonelec.com,Downers Grove,Illinois,Electrical,68200000,311,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T21:57:50.444104+00:00,2026-07-13T21:57:50.444104+00:00,2027-01-09T21:57:50.444114+00:00,,,,,,Default,
Gilbert Mechanical Contractors,gilbertmech.com,www.gilbertmech.com,Edina,Minnesota,Plumbing,39717000,106,,Rejected,REJECT,State outside target geography: Minnesota,0.0,2026-07-13T21:50:35.851415+00:00,2026-07-13T21:50:35.851415+00:00,2027-01-09T21:50:35.851432+00:00,,,,,,Default,
Godwin Plumbing,godwinplumbing.com,www.godwinplumbing.com,Grand Rapids,Michigan,Plumbing,58762000,115,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54757454377; source all-companies.csv).,0.0,2026-07-13T21:46:18.168477+00:00,2026-07-13T21:46:18.168477+00:00,,,,,,,Default,
Goettl Air Conditioning & Plumbing,goettl.com,www.goettl.com,Las Vegas,Nevada,Plumbing,186904000,912,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | visible marketing maturity,93.0,2026-07-13T21:39:07.542682+00:00,2026-07-13T21:39:07.542682+00:00,,,,,,,Default,
Granite City Electric Supply,granitecityelectric.com,www.granitecityelectric.com,Quincy,Massachusetts,Electrical,282931000,382,,Rejected,REJECT,State outside target geography: Massachusetts,0.0,2026-07-13T21:51:21.095734+00:00,2026-07-13T21:51:21.095734+00:00,2027-01-09T21:51:21.095747+00:00,,,,,,Default,
GreenWood,gwood.com,www.gwood.com,Greenville,South Carolina,Electrical,194954000,894,,Rejected,REJECT,State outside target geography: South Carolina,0.0,2026-07-13T21:52:26.865270+00:00,2026-07-13T21:52:26.865270+00:00,2027-01-09T21:52:26.865283+00:00,,,,,,Default,
Greenix,greenixpc.com,www.greenixpc.com,Orem,Utah,Pest Control,204939000,1000,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | current growth signals,76.0,2026-07-13T22:00:10.660078+00:00,2026-07-13T22:00:10.660078+00:00,,,,,,,Default,
Gt Plumbing & Heating,plumbersnearyou.com,www.plumbersnearyou.com,Flushing,New York,Plumbing,44874000,34,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54769607982; source all-companies.csv).,0.0,2026-07-13T21:49:12.970852+00:00,2026-07-13T21:49:12.970852+00:00,,,,,,,Default,
Guarantee Electrical,geco.com,www.geco.com,St. Louis,Missouri,Electrical,356549000,628,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39400602792; source all-companies.csv).,0.0,2026-07-13T21:51:20.965385+00:00,2026-07-13T21:51:20.965385+00:00,,,,,,,Default,
Gulf Mechanical Contractors,gulfmc.net,www.gulfmc.net,Orlando,Florida,Plumbing,40430000,59,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:50:35.815545+00:00,2026-07-13T21:50:35.815545+00:00,2027-01-09T21:50:35.815564+00:00,,,,,,Default,
Gurtz Electric,gurtzelectric.com,www.gurtzelectric.com,Arlington Heights,Illinois,Electrical,222784000,351,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39369723746; source all-companies.csv).,0.0,2026-07-13T21:52:06.493775+00:00,2026-07-13T21:52:06.493775+00:00,,,,,,,Default,
Gutridge Plumbing,gutridge.com,www.gutridge.com,Newark,Ohio,Plumbing,71131000,371,,Rejected,REJECT,State outside target geography: Ohio,0.0,2026-07-13T21:42:33.974183+00:00,2026-07-13T21:42:33.974183+00:00,2027-01-09T21:42:33.974200+00:00,,,,,,Default,
H B Frazer,hbfrazer.com,www.hbfrazer.com,Reading,Pennsylvania,Electrical,127305000,200,,Rejected,REJECT,State outside target geography: Pennsylvania,0.0,2026-07-13T21:53:40.292468+00:00,2026-07-13T21:53:40.292468+00:00,2027-01-09T21:53:40.292480+00:00,,,,,,Default,
HB McClure,hbmcclure.com,www.hbmcclure.com,Harrisburg,Pennsylvania,Electrical,318262000,1000,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54034621846; source all-companies.csv).,0.0,2026-07-13T21:38:49.581390+00:00,2026-07-13T21:51:21.024879+00:00,,,,,,,Default,
Haller Enterprises,hallerent.com,www.hallerent.com,Lititz,Pennsylvania,Electrical,189805000,400,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55160490387; source all-companies.csv).,0.0,2026-07-13T21:38:49.730011+00:00,2026-07-13T21:52:26.941771+00:00,,,,,,,Default,
Hanley Energy,hanleyenergy.com,www.hanleyenergy.com,Ashburn,Virginia,Electrical,149364000,550,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:53:26.651960+00:00,2026-07-13T21:53:26.651960+00:00,2027-01-09T21:53:26.651972+00:00,,,,,,Default,
Hardy,hardycorp.com,www.hardycorp.com,Birmingham,Alabama,Plumbing,59000000,336,,Rejected,REJECT,State outside target geography: Alabama,0.0,2026-07-13T21:46:18.161168+00:00,2026-07-13T21:46:18.161168+00:00,2027-01-09T21:46:18.161179+00:00,,,,,,Default,
Harris Plumbing,callharrisnow.com,www.callharrisnow.com,Salem,New Jersey,Plumbing,109483000,172,,Rejected,REJECT,State outside target geography: New Jersey,0.0,2026-07-13T21:40:54.738690+00:00,2026-07-13T21:40:54.738690+00:00,2027-01-09T21:40:54.738706+00:00,,,,,,Default,
Harvey W. Hottel,harveyhottel.com,www.harveyhottel.com,Gaithersburg,Maryland,Plumbing,63653000,100,,Rejected,REJECT,State outside target geography: Maryland,0.0,2026-07-13T21:43:40.253628+00:00,2026-07-13T21:43:40.253628+00:00,2027-01-09T21:43:40.253643+00:00,,,,,,Default,
Havel,havelemcor.com,www.havelemcor.com,Fort Wayne,Indiana,Electrical,66529000,200,,Rejected,REJECT,State outside target geography: Indiana,0.0,2026-07-13T21:57:50.483697+00:00,2026-07-13T21:57:50.483697+00:00,2027-01-09T21:57:50.483711+00:00,,,,,,Default,
